volume_DHR_USA,close_DHR_USA,date,volume_CHE_USA,close_CHE_USA,volume_COR_USA,close_COR_USA,volume_AMGN_USA,close_AMGN_USA,volume_BIO_USA,close_BIO_USA,volume_GEMC_RU,close_GEMC_RU,volume_STVN_USA,close_STVN_USA,volume_DIOD_RU,close_DIOD_RU,volume_BDX_USA,close_BDX_USA,volume_TMO_USA,close_TMO_USA,volume_VEEV_USA,close_VEEV_USA,volume_MDMG_RU,close_MDMG_RU,volume_GILD_USA,close_GILD_USA,volume_PODD_USA,close_PODD_USA,volume_THC_USA,close_THC_USA,volume_ISRG_USA,close_ISRG_USA,volume_GMED_USA,close_GMED_USA,volume_JAZZ_USA,close_JAZZ_USA,volume_COO_USA,close_COO_USA,volume_PEN_USA,close_PEN_USA,volume_PCVX_USA,close_PCVX_USA,volume_WAT_USA,close_WAT_USA,volume_QGEN_USA,close_QGEN_USA,volume_GEMA_RU,close_GEMA_RU,volume_GEHC_USA,close_GEHC_USA,volume_RMD_USA,close_RMD_USA,volume_EXEL_USA,close_EXEL_USA,volume_TECH_USA,close_TECH_USA,volume_HOLX_USA,close_HOLX_USA,volume_ALGN_USA,close_ALGN_USA,volume_MCK_USA,close_MCK_USA,volume_INCY_USA,close_INCY_USA,volume_LLY_USA,close_LLY_USA,volume_MASI_USA,close_MASI_USA,volume_ABT_USA,close_ABT_USA,volume_ELV_USA,close_ELV_USA,volume_NBIX_USA,close_NBIX_USA,volume_JNJ_USA,close_JNJ_USA,volume_WST_USA,close_WST_USA,volume_CVS_USA,close_CVS_USA,volume_MOH_USA,close_MOH_USA,volume_ATR_USA,close_ATR_USA,volume_LIFE_RU,close_LIFE_RU,volume_ENSG_USA,close_ENSG_USA,volume_BIIB_USA,close_BIIB_USA,volume_TFX_USA,close_TFX_USA,volume_STE_USA,close_STE_USA,volume_MTD_USA,close_MTD_USA,volume_MDT_USA,close_MDT_USA,volume_CAH_USA,close_CAH_USA,volume_UNH_USA,close_UNH_USA,volume_LH_USA,close_LH_USA,volume_HQY_USA,close_HQY_USA,volume_ILMN_USA,close_ILMN_USA,volume_ROIV_USA,close_ROIV_USA,volume_DGX_USA,close_DGX_USA,volume_GECO_RU,close_GECO_RU,volume_CI_USA,close_CI_USA,volume_BSX_USA,close_BSX_USA,volume_IQV_USA,close_IQV_USA,volume_APTK_RU,close_APTK_RU,volume_ABIO_RU,close_ABIO_RU,volume_MEDP_USA,close_MEDP_USA,volume_EHC_USA,close_EHC_USA,volume_ZTS_USA,close_ZTS_USA,volume_BMY_USA,close_BMY_USA,volume_ALNY_USA,close_ALNY_USA,volume_SYK_USA,close_SYK_USA,volume_DVA_USA,close_DVA_USA,volume_RPRX_USA,close_RPRX_USA,volume_EW_USA,close_EW_USA,volume_NTRA_USA,close_NTRA_USA,volume_SWAV_USA,close_SWAV_USA,volume_WBA_USA,close_WBA_USA,volume_ABBV_USA,close_ABBV_USA,volume_A_USA,close_A_USA,volume_UHS_USA,close_UHS_USA,volume_HUM_USA,close_HUM_USA,volume_ZBH_USA,close_ZBH_USA,volume_HSIC_USA,close_HSIC_USA,volume_VKTX_USA,close_VKTX_USA,volume_CTLT_USA,close_CTLT_USA,volume_MRK_USA,close_MRK_USA,volume_DXCM_USA,close_DXCM_USA,volume_INSP_USA,close_INSP_USA,volume_ELAN_USA,close_ELAN_USA,volume_CYTK_USA,close_CYTK_USA,volume_CNC_USA,close_CNC_USA,volume_APLS_USA,close_APLS_USA,volume_BAX_USA,close_BAX_USA,volume_ACHC_USA,close_ACHC_USA,volume_BMRN_USA,close_BMRN_USA,volume_VTRS_USA,close_VTRS_USA,volume_MRNA_USA,close_MRNA_USA,volume_EXAS_USA,close_EXAS_USA,volume_RGEN_USA,close_RGEN_USA,volume_UTHR_USA,close_UTHR_USA,volume_REGN_USA,close_REGN_USA,volume_SRPT_USA,close_SRPT_USA,volume_CERE_USA,close_CERE_USA,volume_PFE_USA,close_PFE_USA,volume_RVTY_USA,close_RVTY_USA,volume_VRTX_USA,close_VRTX_USA,volume_HCA_USA,close_HCA_USA,volume_BRKR_USA,close_BRKR_USA,volume_ICLR_USA,close_ICLR_USA,volume_CRL_USA,close_CRL_USA,volume_IDXX_USA,close_IDXX_USA,usdrub,effr,open_S&P500,high_S&P500,low_S&P500,close_S&P500,volume_S&P500,"Debt of the non-financial sector and households, total","Non-financial sector, total","Internal borrowings, non-financial sector",Credits,Debt securities in the residents portfolio,"External borrowings, non-financial sector",Loans and borrowings received from non-residents,"Debt securities in the portfolio of non-residents, including promissory notes","Households and NPOs, total","Internal borrowings, households","External borrowings, households",real_gdp_usa,m0_ru,m1_ru,m2_ru,broad_money_supply_ru,Cash national currency,Foreign currency in cash,Deposits,Cash on brokerage accounts,Debt securities,Quoted shares and units and shares of investment funds,Loans from credit institutions,daily_gdp,daily_gdp_no_season,Open_IMOEX,High_IMOEX,Low_IMOEX,Close_IMOEX,Volume_IMOEX,Interbank credit market rates,gold_rates,silver_rates,platinum_rates,palladium_rates
196697.0,249.5,2024-05-08,5430.0,575.36,205564.0,225.2,447627.0,304.1,46406.0,273.18,,,67335.0,27.4221,,,223335.0,234.165,318005.0,573.5847,83123.0,204.01,,,553716.0,65.0,247074.0,179.0,177044.0,123.665,189697.0,381.8932,2621047.0,64.045,136060.0,110.91,45804.0,92.59,292305.0,201.515,48159.0,67.78,35480.0,329.545,398318.0,43.19,,,355333.0,80.435,187646.0,212.44,314903.0,21.99,122436.0,77.18,135903.0,75.94,403968.0,266.94,398586.0,551.0,294727.0,53.83,577284.0,775.12,688916.0,119.27,889286.0,104.74,134503.0,533.745,68121.0,140.9,1090888.0,148.95,38203.0,369.19,3308569.0,54.715,22571.0,346.7,12090.0,150.175,,,15664.0,117.24,68552.0,218.62,31425.0,198.22,226469.0,210.8325,12238.0,1255.01,629689.0,81.565,201632.0,98.74,728975.0,502.87,67858.0,201.27,67524.0,79.42,570762.0,109.38,595607.0,11.295,36811.0,136.87,,,115795.0,347.47,1080264.0,73.42,61889.0,228.5525,,,,,24364.0,400.84,27708.0,85.22,1445202.0,163.96,1612894.0,43.795,30479.0,153.665,261389.0,329.605,72753.0,136.115,328995.0,28.175,275811.0,85.31,68194.0,97.21,143545.0,330.89,1303660.0,17.23,735385.0,160.4,149451.0,142.62,32998.0,168.14,193649.0,323.59,81539.0,120.8255,384002.0,73.06,338616.0,78.94,104330.0,56.45,1233176.0,129.85,160534.0,129.565,1649554.0,167.55,5963308.0,17.1195,109321.0,65.195,298334.0,76.21,686899.0,42.52,655642.0,36.025,63476.0,66.41,85116.0,82.5,1777600.0,11.885,486877.0,122.065,480998.0,61.03,34664.0,167.72,92645.0,265.3,56349.0,963.3,254435.0,134.205,223864.0,42.055,7177173.0,27.98,29126.0,103.33,448048.0,422.53,150958.0,309.22,132460.0,74.635,72300.0,313.005,50386.0,235.21,59419.0,477.7231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906357.0,248.76,2024-05-07,127237.0,580.36,1899150.0,226.74,2438623.0,300.3,201719.0,279.91,59006.0,912.1,381823.0,27.64,41600.0,16.48,1095291.0,237.15,1771702.0,572.87,821757.0,205.31,50063.0,1121.6,7204504.0,65.46,1062375.0,184.28,1527491.0,124.07,634725.0,388.57,1822038.0,51.36,841956.0,111.21,965595.0,93.42,565627.0,210.0,556995.0,67.52,991952.0,326.06,839731.0,42.95,198380.0,203.4,3225514.0,81.43,813938.0,216.16,2595680.0,22.15,1007595.0,77.46,934342.0,76.1,423002.0,286.52,984411.0,545.75,1901286.0,54.37,2879447.0,777.77,1327759.0,136.0,4046164.0,106.17,692867.0,536.17,361386.0,143.17,6901172.0,148.72,338221.0,368.35,17488120.0,55.74,363834.0,349.82,392912.0,149.72,,,298106.0,117.95,1156500.0,218.92,375558.0,201.52,805581.0,212.87,158662.0,1247.74,4939733.0,81.9,2268112.0,99.72,3392926.0,500.96,620897.0,201.5,670270.0,80.38,2950232.0,112.82,2438711.0,11.38,637785.0,136.94,223300.0,47.51,1567974.0,346.7,4109588.0,73.43,510502.0,229.24,2008350.0,14.1,268440.0,111.5,228963.0,402.1,973785.0,85.88,3318086.0,168.45,10915939.0,44.04,353438.0,154.33,1258339.0,332.14,748841.0,137.7,2949021.0,28.28,1836563.0,85.84,774250.0,97.15,442753.0,330.49,8930809.0,17.35,5165964.0,162.55,1479558.0,141.27,433196.0,169.5,1068994.0,324.63,1358505.0,121.43,2084008.0,71.2,3646227.0,79.61,1614968.0,56.53,6566817.0,130.38,1425267.0,130.1,913239.0,245.63,5021442.0,13.52,502664.0,65.28,2534532.0,75.9,4517810.0,43.9,5586249.0,36.12,1427448.0,67.43,898914.0,82.58,6075206.0,11.72,2894011.0,121.07,1934015.0,61.41,529350.0,167.72,686557.0,266.22,358317.0,969.97,2003305.0,136.04,878973.0,42.26,61134636.0,27.77,502546.0,103.17,1306877.0,410.24,1178503.0,314.45,1811303.0,74.33,617363.0,314.54,473769.0,236.3,368074.0,483.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1741111.0,247.4,2024-05-06,71405.0,571.06,1582709.0,224.04,4717645.0,299.48,207587.0,281.97,44987.0,916.8,231527.0,26.67,100700.0,16.35,1255426.0,236.58,1140684.0,573.55,510514.0,203.14,73068.0,1135.3,7187265.0,65.54,550235.0,176.4,1248073.0,122.36,878194.0,383.05,1755937.0,50.27,571216.0,109.85,847257.0,92.4,327016.0,211.62,505674.0,66.4,768492.0,319.86,2151421.0,42.58,576120.0,208.65,2389852.0,79.8,844821.0,216.94,2158487.0,21.9,1090356.0,76.06,1585120.0,75.93,362401.0,287.37,642678.0,533.41,2016552.0,54.08,3398280.0,766.68,802400.0,138.0,3789737.0,105.64,756967.0,529.93,495129.0,141.71,5042757.0,148.58,332532.0,366.54,16620136.0,55.97,317360.0,343.21,260199.0,149.04,,,368070.0,116.05,1199848.0,221.42,551439.0,200.96,640578.0,209.52,202839.0,1250.8,3676174.0,81.76,1889759.0,98.59,2029503.0,494.38,813044.0,201.04,361941.0,79.27,1803175.0,118.98,3445432.0,11.6,750586.0,135.64,1122290.0,47.96,1339270.0,342.41,4922960.0,72.55,684926.0,227.04,7733240.0,14.184,561860.0,111.2,222298.0,400.74,452429.0,84.51,3081343.0,165.95,9127651.0,43.9,289746.0,151.22,1722244.0,325.5,1442587.0,136.87,1860977.0,28.49,2449673.0,85.09,1034579.0,97.21,697094.0,330.0,11521533.0,17.26,5834562.0,162.73,1639410.0,140.61,811257.0,169.15,1420369.0,319.23,1293796.0,120.56,1390498.0,68.53,3197262.0,78.21,1187678.0,56.37,6551962.0,127.57,1858416.0,129.65,349962.0,250.96,4974965.0,13.26,607007.0,65.05,2780170.0,75.14,1849993.0,48.81,5784421.0,36.51,1555714.0,67.78,895206.0,82.1,6028846.0,11.82,3953207.0,122.13,2657723.0,63.35,458055.0,168.04,587222.0,260.51,352000.0,958.64,823447.0,135.04,676474.0,42.52,59899708.0,28.16,898201.0,102.82,1463611.0,402.5,751196.0,310.06,1791882.0,72.52,491800.0,315.14,427430.0,235.27,298173.0,476.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3441.7,3444.11,3418.47,3436.05,68474003787.1,,,,,
1787817.0,248.38,2024-05-03,70751.0,561.65,2222046.0,223.95,9644682.0,311.29,196160.0,279.83,41554.0,931.1,277658.0,26.45,79300.0,16.4,1722353.0,234.68,1749670.0,572.38,646523.0,203.45,61354.0,1150.0,7822720.0,64.78,614615.0,174.43,1695112.0,120.28,1028858.0,381.36,1061977.0,51.95,693769.0,110.01,801800.0,90.64,311088.0,208.55,620649.0,65.96,507996.0,321.25,1317948.0,42.98,708930.0,196.3,2722865.0,79.47,655018.0,216.98,2475481.0,21.9,1509857.0,77.29,2069424.0,76.54,353639.0,287.87,866981.0,528.86,1407391.0,53.76,4595138.0,734.97,611099.0,137.0,3610492.0,105.9,819445.0,526.96,616567.0,140.71,6532718.0,149.27,451107.0,365.02,23946076.0,55.9,374606.0,339.68,303324.0,146.81,,,539828.0,116.89,1144154.0,217.51,604098.0,203.01,500555.0,207.82,95337.0,1251.95,4987236.0,81.69,3446183.0,98.91,2487811.0,492.45,555654.0,201.32,613348.0,78.55,2987105.0,117.93,3693343.0,11.39,640502.0,137.38,1164490.0,47.75,2413548.0,341.5,7452084.0,72.85,1052929.0,223.37,2661450.0,13.928,1476370.0,113.0,133312.0,392.57,601904.0,83.21,3007125.0,167.07,12104489.0,43.99,452160.0,152.33,1589424.0,328.45,2541405.0,134.45,2169369.0,28.41,2327197.0,85.25,1069756.0,96.98,810028.0,330.38,7528623.0,17.81,5850102.0,163.79,1097922.0,139.45,597904.0,167.7,1802675.0,320.54,1847585.0,121.66,1167605.0,67.78,3754256.0,76.97,1712987.0,56.5,6221928.0,127.51,1778982.0,128.37,354959.0,249.72,3719972.0,13.53,900208.0,65.27,4706732.0,74.81,1106943.0,47.46,6246789.0,36.89,1213590.0,66.12,1632894.0,82.44,5088581.0,11.78,4513133.0,125.0,1612633.0,62.07,454984.0,167.05,779523.0,262.4,547373.0,957.0,1196284.0,133.66,912342.0,42.55,60568852.0,27.81,859139.0,100.61,1064066.0,401.08,1044934.0,307.76,1959846.0,70.05,567325.0,309.02,466193.0,233.47,547954.0,480.6,91.3534,,511.16,512.55,508.56,511.29,72756709.0,,,,,,,,,,,,,,,,,,,,,,,,,,3443.49,3450.43,3424.63,3441.77,49713350092.54,15.2913,6020.42,66.73,2561.13,2746.17
2780607.0,246.84,2024-05-02,91342.0,559.65,2042140.0,224.74,3177473.0,278.39,236927.0,279.31,62006.0,933.6,318207.0,26.81,53200.0,16.73,3789533.0,240.35,1357370.0,571.25,630387.0,201.43,102296.0,1137.0,5571500.0,65.33,630543.0,173.42,1988445.0,118.94,1208612.0,377.65,707973.0,50.48,1061749.0,109.29,1259418.0,89.75,368376.0,206.06,503114.0,64.55,428430.0,315.58,1202046.0,42.68,69560.0,184.0,2995695.0,77.83,1146122.0,218.15,3207625.0,22.12,2255997.0,75.6,1795905.0,75.91,605041.0,286.54,823335.0,530.27,2020535.0,53.09,3205628.0,755.91,431442.0,136.25,3708515.0,105.92,1339714.0,525.61,882407.0,139.83,8459796.0,149.92,445558.0,368.46,37885244.0,55.15,392468.0,339.55,356539.0,145.92,,,453940.0,116.55,877745.0,213.51,706549.0,198.73,384284.0,206.24,108877.0,1249.88,6338796.0,80.92,3684813.0,102.98,3561404.0,492.97,599282.0,200.25,459065.0,79.75,1630807.0,123.99,3331130.0,11.24,695156.0,136.34,290580.0,46.94,3108825.0,344.5,7610487.0,72.03,1697682.0,222.14,4660020.0,13.868,510820.0,111.52,230439.0,391.07,465428.0,83.42,5323122.0,167.23,15962587.0,43.7,660180.0,150.31,1846993.0,326.63,1893560.0,142.24,5351633.0,28.76,1942855.0,85.06,623156.0,93.72,619833.0,330.0,7865018.0,17.53,5904251.0,160.81,1146813.0,137.52,651966.0,169.89,1677933.0,320.98,2931807.0,118.46,1318897.0,68.6,2147192.0,75.76,1880833.0,56.34,7422542.0,128.26,2311410.0,126.65,358085.0,251.19,3915661.0,13.47,576678.0,64.34,5386620.0,74.33,1020629.0,47.49,10810757.0,36.91,2802922.0,66.73,1221297.0,83.8,7905787.0,11.6,11973082.0,125.59,1587056.0,60.54,848499.0,166.31,717192.0,258.13,1066980.0,937.61,2230600.0,130.63,1517671.0,42.59,69649010.0,27.7,675087.0,101.08,1051248.0,400.16,868730.0,308.84,3340204.0,70.09,641936.0,301.07,409225.0,229.89,518332.0,475.82,,,504.15,505.89,499.55,505.03,62550179.0,,,,,,,,,,,,,,,,,,,,,,,,,,3470.87,3477.42,3439.58,3442.83,56777352917.19,15.9857,,,,
2310441.0,246.89,2024-05-01,90086.0,566.1,3291636.0,229.2,2323935.0,277.37,383476.0,274.06,,,247015.0,28.23,,,2721644.0,233.72,1171977.0,574.99,618067.0,198.9,,,7232520.0,65.51,582320.0,170.27,3242585.0,115.95,952256.0,371.7,897336.0,50.43,800753.0,110.31,742416.0,89.66,544684.0,205.29,766795.0,63.71,493908.0,315.92,1468713.0,42.81,,,5303279.0,78.26,1306398.0,215.01,7471853.0,21.93,3117232.0,73.46,1423724.0,76.28,764066.0,284.52,1170824.0,531.1,3577694.0,52.94,2804838.0,776.75,296409.0,134.01,4097108.0,106.29,977593.0,524.84,1601920.0,143.03,14473711.0,151.18,579085.0,363.43,65769864.0,56.31,404582.0,338.87,359575.0,145.38,,,431631.0,119.45,916375.0,216.13,620701.0,211.54,358970.0,205.04,98747.0,1249.75,5366116.0,80.89,2858908.0,102.17,2729234.0,484.11,765348.0,201.32,743281.0,79.75,1401348.0,124.68,5558234.0,11.21,676634.0,137.55,,,1904491.0,357.18,6021096.0,72.21,1025521.0,232.94,,,,,297089.0,397.86,543838.0,82.88,3779731.0,158.5,13247159.0,44.21,735892.0,149.96,2766931.0,328.12,1127667.0,139.75,3114911.0,28.07,2203110.0,84.3,1029395.0,94.15,925513.0,329.84,10838830.0,17.34,5178876.0,161.72,850440.0,138.69,1161938.0,170.19,2625787.0,314.21,2710471.0,119.56,890008.0,68.78,4065301.0,76.43,1637869.0,56.0,5895807.0,128.8,2916511.0,125.88,281447.0,244.0,2808008.0,13.15,1232153.0,63.37,4361044.0,72.25,2333766.0,46.05,3358151.0,40.34,706913.0,72.99,1881895.0,83.33,8672646.0,11.63,3842952.0,111.46,2172084.0,60.01,909297.0,158.36,1410643.0,255.14,595182.0,903.48,1189315.0,130.9,1152986.0,42.63,97521570.0,27.18,816106.0,102.6,1256483.0,402.14,812452.0,309.44,1435759.0,79.03,357018.0,301.61,534516.0,232.69,1018227.0,468.04,,,501.38,508.19,499.865,500.35,80242839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3940994.0,246.62,2024-04-30,103457.0,568.0,1589325.0,239.05,2477347.0,273.94,307258.0,269.75,45658.0,935.0,366043.0,28.04,46000.0,16.61,1685938.0,234.6,1515137.0,568.72,549606.0,198.56,30350.0,1107.0,7436603.0,65.2,758586.0,171.94,3866138.0,112.29,1213211.0,370.62,519896.0,49.79,613990.0,110.75,951362.0,89.06,302761.0,196.47,445654.0,60.55,370283.0,309.04,2705630.0,42.33,78960.0,187.9,14433617.0,76.24,1635753.0,213.99,2268102.0,23.46,1329624.0,63.21,1515878.0,75.77,1218719.0,282.38,795069.0,537.21,4773335.0,52.05,7437105.0,781.1,417064.0,134.41,5073971.0,105.97,950280.0,528.58,966534.0,137.54,8817719.0,144.59,697386.0,357.48,13488466.0,67.71,390624.0,342.1,585121.0,144.38,,,395495.0,118.36,1225694.0,214.82,489548.0,208.75,428959.0,204.56,100576.0,1229.7,6487413.0,80.24,2456082.0,103.04,3367521.0,483.7,890860.0,201.37,481178.0,78.91,1136953.0,123.05,4553208.0,10.9,1067479.0,138.18,170890.0,47.16,1216228.0,357.04,8718137.0,71.87,674185.0,231.77,1305820.0,14.076,242780.0,111.94,233568.0,388.35,764374.0,83.38,3647865.0,159.24,17715996.0,43.94,477045.0,143.95,2480636.0,336.5,947439.0,139.01,2630901.0,27.7,3097564.0,84.67,621869.0,92.88,711441.0,330.19,8256751.0,17.73,5484841.0,162.64,1087383.0,137.04,1004222.0,170.43,1879224.0,302.09,1429080.0,120.28,1720426.0,69.28,3794643.0,79.58,1543210.0,55.85,6944968.0,129.22,3049287.0,127.39,235163.0,241.66,4184291.0,13.16,2530099.0,61.32,4509106.0,73.06,6668374.0,44.19,3465078.0,40.37,694332.0,73.94,2018244.0,80.76,20387112.0,11.57,3211988.0,110.31,2698563.0,59.35,756816.0,164.2,619524.0,234.33,636697.0,890.66,1092772.0,126.66,1059658.0,42.71,38017740.0,25.62,902519.0,102.47,1727934.0,392.81,955770.0,309.82,1227919.0,78.01,412852.0,297.88,512341.0,229.0,754739.0,492.76,,5.33,508.56,509.56,501.98,501.98,77483566.0,,,,,,,,,,,,,16622.3,49338.0,99595.8,114105.6,,,,,,,,,,3481.29,3486.3,3464.86,3469.83,25464035843.12,,,,,
1616439.0,246.82,2024-04-29,92512.0,566.51,912088.0,239.93,2678969.0,276.38,154843.0,277.11,36745.0,935.0,386376.0,27.42,82900.0,16.71,918580.0,233.44,962351.0,576.89,814829.0,201.58,41099.0,1115.8,7838836.0,65.94,602109.0,170.26,1291339.0,99.15,983225.0,374.14,579998.0,50.61,781433.0,111.22,1718220.0,89.89,361558.0,202.04,500655.0,61.03,313991.0,315.09,2566573.0,42.3,133060.0,192.75,4352997.0,88.94,2165867.0,217.19,1559227.0,23.73,1604634.0,64.51,799283.0,76.63,515070.0,304.82,1209237.0,536.09,3081703.0,52.56,2732584.0,737.2,391232.0,136.2,3307022.0,107.27,644157.0,533.98,681748.0,138.89,6461588.0,146.82,516095.0,354.41,6556349.0,67.45,311320.0,343.89,676652.0,146.38,,,223988.0,118.69,2068019.0,215.5,502328.0,208.48,376503.0,205.42,113344.0,1255.24,6154266.0,80.86,1690855.0,102.91,2192838.0,489.03,1415309.0,204.17,323263.0,80.3,908814.0,124.73,5224715.0,11.13,2790173.0,139.5,548320.0,47.03,1144263.0,356.44,9463878.0,72.5,740094.0,235.48,3192670.0,14.202,515780.0,111.9,242766.0,400.21,537945.0,83.64,4849557.0,159.7,16429196.0,44.64,439862.0,147.36,1528296.0,338.87,990814.0,138.14,3605078.0,28.12,3497796.0,85.95,1538716.0,94.04,457586.0,329.51,6688832.0,18.02,6226196.0,161.52,781155.0,139.59,794858.0,169.12,1742572.0,303.15,1195031.0,121.71,743703.0,73.03,2827859.0,75.42,1470464.0,56.3,6829373.0,130.12,3846764.0,125.81,448342.0,243.61,4121640.0,13.57,1286291.0,62.53,5107322.0,73.83,1400648.0,47.84,3262957.0,40.64,514160.0,74.61,2008727.0,82.13,5843723.0,11.78,2610736.0,111.62,2216577.0,58.78,426055.0,166.14,496599.0,238.26,369920.0,892.48,1035308.0,128.8,714167.0,42.75,41674404.0,25.64,943199.0,105.02,604570.0,396.2,1162825.0,311.42,982737.0,81.26,615955.0,304.14,323060.0,232.1,414108.0,505.34,,5.33,510.09,510.75,507.25,510.06,46415449.0,,,,,,,,,,,,,16622.3,49338.0,99595.8,114105.6,,,,,,,,,,3468.92,3480.47,3467.25,3478.08,31730535756.28,,,,,
2710446.0,246.58,2024-04-26,102418.0,560.42,972783.0,240.88,2436959.0,269.98,179207.0,275.94,212285.0,975.0,335568.0,27.54,87600.0,16.5,738154.0,231.55,1438184.0,573.6,848504.0,200.91,112546.0,1095.0,12382425.0,65.42,636152.0,166.19,1322951.0,96.13,927845.0,375.33,545156.0,50.55,480575.0,109.46,1143255.0,88.84,290642.0,204.41,594302.0,60.72,270575.0,311.3,1406780.0,41.65,466160.0,198.55,1790728.0,86.24,4330840.0,218.06,1560811.0,23.7,973784.0,64.06,919462.0,75.98,737294.0,309.02,654669.0,543.3,1564403.0,51.68,2009249.0,733.51,303461.0,136.14,3575566.0,107.53,700726.0,537.26,717575.0,135.99,6182982.0,146.14,603058.0,360.43,6396438.0,67.18,595215.0,342.23,489509.0,143.33,,,159379.0,117.25,1894098.0,208.9,433169.0,206.71,318142.0,203.9,94952.0,1238.09,5024880.0,79.74,1399916.0,103.21,2727016.0,495.35,931317.0,198.4,382417.0,80.26,829331.0,122.28,3109700.0,11.03,601735.0,134.26,246950.0,47.76,830527.0,354.47,8786294.0,73.17,697640.0,234.88,4374230.0,14.13,420400.0,113.36,144681.0,395.93,706619.0,82.47,5236463.0,158.42,21281928.0,44.85,479139.0,143.31,1063790.0,335.61,477673.0,133.51,1748254.0,28.0,4979943.0,86.43,568943.0,91.66,575689.0,330.0,6592036.0,17.7,10721740.0,159.62,754945.0,137.74,965423.0,166.06,1213131.0,305.9,1099241.0,119.35,722374.0,73.13,3535445.0,74.31,2846393.0,55.92,7758230.0,131.2,8578184.0,124.34,604213.0,237.45,3254122.0,13.26,738059.0,65.34,6382731.0,74.0,1215021.0,49.86,2013221.0,40.13,689372.0,73.59,2257132.0,80.91,5166294.0,11.57,2247093.0,107.97,2019062.0,58.85,341269.0,166.58,369691.0,233.85,505652.0,883.2,1236000.0,128.77,680906.0,42.47,46526456.0,25.4,827386.0,101.51,682467.0,397.48,2257051.0,306.69,488537.0,80.97,715419.0,308.31,322127.0,229.03,529834.0,499.3,92.1314,5.33,506.35,509.88,505.7,508.26,64306118.0,,,,,,,,,,,,,16622.3,49338.0,99595.8,114105.6,,,,,,,,,,3446.39,3459.12,3438.06,3449.77,52160044316.96,15.739,6872.79,80.33,2680.69,2994.67
2943566.0,245.8,2024-04-25,260708.0,573.34,831205.0,239.76,1794024.0,269.38,164776.0,275.6,52721.0,990.6,588865.0,27.52,114200.0,16.56,885117.0,230.48,1184004.0,571.73,715279.0,199.09,45432.0,1056.9,15171959.0,65.27,864267.0,164.17,1080732.0,97.51,1262618.0,373.12,613282.0,50.37,424856.0,107.43,842092.0,89.93,261670.0,205.5,1566189.0,60.06,381559.0,308.35,1254865.0,41.08,671360.0,206.1,1363051.0,85.95,1124546.0,183.42,1429751.0,23.53,965762.0,62.66,1190940.0,75.71,1654540.0,310.5,635557.0,539.94,1771950.0,51.18,2608752.0,724.87,218683.0,135.24,3112495.0,106.86,1066975.0,539.68,735781.0,137.76,7642732.0,146.82,742377.0,368.18,8918219.0,67.33,915577.0,352.3,694402.0,140.18,,,230160.0,117.29,1590300.0,202.46,345088.0,206.71,411721.0,201.54,92019.0,1232.91,5624078.0,79.25,1642728.0,103.81,4329652.0,493.86,2098112.0,198.35,596788.0,79.04,962789.0,121.05,3719731.0,10.88,1016098.0,135.42,571320.0,47.81,922193.0,354.51,8172200.0,73.26,1061417.0,233.98,1790250.0,14.23,161530.0,112.5,313834.0,389.77,1488277.0,82.73,4567161.0,153.36,45069040.0,44.7,489265.0,143.71,1615335.0,337.15,519286.0,132.77,3308739.0,28.11,4295297.0,88.01,840789.0,91.28,597526.0,328.99,7865519.0,17.6,5503656.0,167.29,940765.0,136.37,1260225.0,165.1,1837737.0,311.41,1078820.0,119.75,583100.0,72.82,3526931.0,68.86,1903179.0,55.8,12750052.0,130.72,4203199.0,138.01,229163.0,231.01,3722995.0,13.04,1112287.0,64.8,3639640.0,75.68,1122466.0,47.93,3568051.0,40.23,1103907.0,73.38,7884498.0,82.17,6540893.0,11.47,2798459.0,106.18,2648606.0,58.79,238746.0,165.66,391825.0,235.95,576565.0,890.68,1694410.0,127.39,691659.0,42.07,47661412.0,25.26,462299.0,102.09,787700.0,397.7,1584992.0,314.12,1091983.0,80.59,1196403.0,300.08,762872.0,227.81,358641.0,489.24,92.5058,5.33,499.18,504.27,497.49,503.49,69122368.0,,,,,,,,,,,,,16622.3,49338.0,99595.8,114105.6,,,,,,,,,,3429.62,3443.74,3427.02,3439.76,47461288356.07,15.6223,6925.11,80.05,2691.59,2965.21
